Column1;BaWü$FID;BaWü$RS;BaWü$AGS;BaWü$SDV_RS;BaWü$GEN;BaWü$BEZ;BaWü$IBZ;BaWü$BEM;BaWü$SN_L;BaWü$EWZ;Sparkasse;Indikator;Kürzel;Zinsüberschuss;Provisionsüberschuss;Sonstige Erträge;Ertragsposition;Personalaufwand;Andere Verwaltungsaufwand;Sonstige Aufwendungen;Aufwandsposition;Jahresüberschuss vor Steuern;Ergebnis der normalen Geschäftstätigkeit;Bilanzsumme
620;5834;83165005002;8316002;83165005002;Bahlingen am Kaiserstuhl;Gemeinde;64;gemeinschaftsangehörig;8;4259;Sparkasse Freiburg-Nördlicher Breisgau;25;SK FREI;0,013804295;0,006849993;0,005110513;0,0257648;0,009586551;0,00467402;0,002733791;0,016994362;0,001028319;0,003797051;6828581815
621;5835;83165005012;8316012;83165005012;Endingen am Kaiserstuhl;Stadt;63;gemeinschaftsangehörig;8;9785;Sparkasse Freiburg-Nördlicher Breisgau;25;SK FREI;0,013804295;0,006849993;0,005110513;0,0257648;0,009586551;0,00467402;0,002733791;0,016994362;0,001028319;0,003797051;6828581815
622;5836;83165005013;8316013;83165005013;Forchheim;Gemeinde;64;gemeinschaftsangehörig;8;1455;Sparkasse Freiburg-Nördlicher Breisgau;25;SK FREI;0,013804295;0,006849993;0,005110513;0,0257648;0,009586551;0,00467402;0,002733791;0,016994362;0,001028319;0,003797051;6828581815
623;5837;83165005037;8316037;83165005037;Riegel am Kaiserstuhl;Gemeinde;64;gemeinschaftsangehörig;8;3953;Sparkasse Freiburg-Nördlicher Breisgau;25;SK FREI;0,013804295;0,006849993;0,005110513;0,0257648;0,009586551;0,00467402;0,002733791;0,016994362;0,001028319;0,003797051;6828581815
624;5838;83165005038;8316038;83165005038;Sasbach am Kaiserstuhl;Gemeinde;64;gemeinschaftsangehörig;8;3447;Sparkasse Staufen-Breisach;47;SK Staufen;0,012777297;0,00656966;0,001936812;0,021283768;0,010986701;0,004872801;0,000211879;0,016071381;0,001260705;0,002387348;1504721065
625;5839;83165005051;8316051;83165005051;Wyhl am Kaiserstuhl;Gemeinde;64;gemeinschaftsangehörig;8;3860;Sparkasse Freiburg-Nördlicher Breisgau;25;SK FREI;0,013804295;0,006849993;0,005110513;0,0257648;0,009586551;0,00467402;0,002733791;0,016994362;0,001028319;0,003797051;6828581815
626;5840;83165006014;8316014;83165006014;Gutach im Breisgau;Gemeinde;64;gemeinschaftsangehörig;8;4445;Sparkasse Freiburg-Nördlicher Breisgau;25;SK FREI;0,013804295;0,006849993;0,005110513;0,0257648;0,009586551;0,00467402;0,002733791;0,016994362;0,001028319;0,003797051;6828581815
627;5841;83165006042;8316042;83165006042;Simonswald;Gemeinde;64;gemeinschaftsangehörig;8;3054;Sparkasse Freiburg-Nördlicher Breisgau;25;SK FREI;0,013804295;0,006849993;0,005110513;0,0257648;0,009586551;0,00467402;0,002733791;0,016994362;0,001028319;0,003797051;6828581815
628;5842;83165006056;8316056;83165006056;Waldkirch;Stadt;63;gemeinschaftsangehörig;8;21799;Sparkasse Freiburg-Nördlicher Breisgau;25;SK FREI;0,013804295;0,006849993;0,005110513;0,0257648;0,009586551;0,00467402;0,002733791;0,016994362;0,001028319;0,003797051;6828581815
629;5843;83170005005;8317005;83170005005;Appenweier;Gemeinde;62;--;8;10103;Sparkasse Offenburg/Ortenau;38;SK Off;0,012338631;0,006336421;0,003532663;0,022207715;0,009090278;0,004474747;0,001201943;0,014766968;0,002239384;0,003909168;4722814040
630;5844;83170031031;8317031;83170031031;Friesenheim;Gemeinde;62;--;8;13049;Sparkasse Offenburg/Ortenau;38;SK Off;0,012338631;0,006336421;0,003532663;0,022207715;0,009090278;0,004474747;0,001201943;0,014766968;0,002239384;0,003909168;4722814040
631;5845;83170051051;8317051;83170051051;Hornberg;Stadt;61;--;8;4233;Sparkasse Kinzigtal;33;SK KINZIG;0,011025478;0,006752398;0,002078569;0,019856445;0,009365177;0,005096064;0,00012972;0,014590961;0,000986546;0,002848923;481987908,3
632;5846;83170057057;8317057;83170057057;Kehl;Stadt;61;--;8;35695;Sparkasse Hanauerland;26;SK HAN;0,009085762;0,006567679;0,001947819;0,017601261;0,009014865;0,004690258;0,000126605;0,013831729;0,000473694;0,000585418;1462018226
633;5847;83170141141;8317141;83170141141;Willstätt;Gemeinde;62;--;8;9787;Sparkasse Hanauerland;26;SK HAN;0,009085762;0,006567679;0,001947819;0,017601261;0,009014865;0,004690258;0,000126605;0,013831729;0,000473694;0,000585418;1462018226
